23386,20005,0.00210024,1544132067,395328594
23386,23387,0.01374021,1544132067,395328594
3797,5898,0.002,1544135584,395339624
3797,5902,0.0011498,1544135584,395339624
3797,5899,0.00969191,1544135584,395339624
3797,5901,0.7664658,1544135584,395339624
3797,5900,0.0159,1544135584,395339624
3797,5897,0.00532343,1544135584,395339624
10945,10948,0.00685386,1544133882,395334772
10945,10947,0.05,1544133882,395334772
32672,32673,0.01225356,1544128472,395317295
32672,32674,0.052971,1544128472,395317295
15733,15734,0.00032631,1544133530,395333563
15733,4126,0.03100111,1544133530,395333563
26207,19797,0.013,1544131556,395326914
26207,26208,0.03046919,1544131556,395326914
18048,18048,0.00457504,1544131862,395327870
12716,7132,13.05551932,1544133752,395334250
10829,10830,0.0525,1544134112,395335443
10829,10831,0.019205,1544134112,395335443
9368,9370,2.745e-05,1544135206,395338642
9368,9369,0.00408243,1544135206,395338642
12399,12400,0.01002928,1544133428,395333290
12399,12401,0.00421934,1544133428,395333290
10323,10323,0.044467,1544133730,395334192
10323,10328,0.00056439,1544133730,395334192
20107,20108,0.01377843,1544132593,395330487
20107,14213,0.12097197,1544132593,395330487
27066,27067,7.606e-05,1544131459,395326569
27066,27068,0.00221178,1544131459,395326569
26211,18659,0.5,1544131592,395327007
26211,26212,0.0599514,1544131592,395327007
6466,6468,0.00031447,1544134696,395336928
6466,6467,6.019e-05,1544134696,395336928
14387,14388,0.013483,1544134151,395335560
14387,6703,6.51741748,1544134151,395335560
13142,13143,1.09971465,1544133944,395334967
13142,13144,0.0040212,1544133944,395334967
28642,5878,0.00054241,1544131239,395325875
28642,28658,0.02683306,1544131239,395325875
28642,9877,0.14035,1544131239,395325875
28642,28656,0.01653868,1544131239,395325875
28642,28648,0.01684708,1544131239,395325875
28642,28647,0.01185481,1544131239,395325875
28642,28645,0.05159836,1544131239,395325875
28642,11713,0.07386671,1544131239,395325875
28642,11425,0.00249483,1544131239,395325875
28642,28643,0.2,1544131239,395325875
28642,27087,0.0209523,1544131239,395325875
28642,28644,0.00447263,1544131239,395325875
28642,28651,0.02332971,1544131239,395325875
28642,23879,0.42532785,1544131239,395325875
28642,9817,0.13082333,1544131239,395325875
28642,28654,0.00319106,1544131239,395325875
28642,28652,0.2,1544131239,395325875
28642,28657,0.03721202,1544131239,395325875
28642,25436,0.26544574,1544131239,395325875
28642,19247,0.00413876,1544131239,395325875
28642,25176,7.74347857,1544131239,395325875
28642,28653,0.00378293,1544131239,395325875
28642,28655,0.0566951,1544131239,395325875
28642,28649,0.14168132,1544131239,395325875
28642,945,0.50759706,1544131239,395325875
28642,28646,0.0036554,1544131239,395325875
28642,28650,0.0191513,1544131239,395325875
27409,17606,0.0264,1544131351,395326218
27409,26437,0.00730545,1544131351,395326218
20523,15960,0.0496,1544132636,395330620
20523,20524,0.00989656,1544132636,395330620
36156,36157,0.00066604,1544126148,395309257
36156,36158,0.0096796,1544126148,395309257
18052,18052,0.00291894,1544133123,395332159
24519,24520,0.00779,1544132207,395329064
24519,24521,0.01455291,1544132207,395329064
14140,6868,0.47318858,1544133590,395333776
14140,14141,0.0249,1544133590,395333776
7372,7374,10.0,1544136572,395341987
7372,7378,10.0,1544136572,395341987
7372,7373,10.0,1544136572,395341987
7372,7375,1.41433702,1544136572,395341987
7372,7376,0.00977151,1544136572,395341987
7372,7379,10.0,1544136572,395341987
7372,7377,10.0,1544136572,395341987
17993,17993,0.00844679,1544132911,395331565
8052,8054,0.013904,1544136329,395341450
8052,8053,9.15801042,1544136329,395341450
13386,8194,8.77456737,1544134499,395336342
13386,13387,0.01113363,1544134499,395336342
9189,9191,0.05805862,1544136583,395342002
9189,9190,0.03255557,1544136583,395342002
28574,11713,0.00490308,1544128602,395317868
28574,28574,0.00649143,1544128602,395317868
9795,9795,0.28462238,1544133613,395333873
9795,12239,2.65102912,1544133613,395333873
31989,31990,0.00056124,1544128547,395317678
